cloud,cloud_display,n_skus,n_distinct_skus,n_available,median_per_gpu_dph,min_per_gpu_dph,max_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds
verda,Verda,6,4,0,7.858750000000001,7.705,7.91,300.0,480.0
excesssupply,Excess Supply?,2,1,1,4.5,4.5,4.5,900.0,1200.0
scaleway,Scaleway,1,1,0,9.0075,9.0075,9.0075,300,480
