cloud,cloud_display,n_skus,n_distinct_skus,n_available,median_per_gpu_dph,min_per_gpu_dph,max_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds
massedcompute,Massed Compute,11,4,3,2.19,2.18875,2.19,300.0,480.0
imwt,IMWT?,8,4,0,1.25,1.25,1.25,300.0,480.0
verda,Verda,7,4,0,1.9575,1.95,1.9575,300.0,480.0
latitude,Latitude,6,2,3,3.41,1.9,3.41,300.0,480.0
hyperstack,Hyperstack,4,4,0,1.85,1.85,1.85,300.0,480.0
boostrun,BoostRun?,1,1,0,0.99,0.99,0.99,300,480
excesssupply,Excess Supply?,1,1,0,1.35,1.35,1.35,300,480
