as_of_date,cycle_hour,chip_slug,n_sources,n_count_sources,idle_gpus_observable,gpuw_pct_source_equal,methodology_version
2026-08-07,2026-08-08T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-08T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-08T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-08T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-08T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-08T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-08T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-09T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-08,2026-08-09T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-09T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-09T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-09T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-09T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-09T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-09T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-10T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-09,2026-08-10T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-10T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-10T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-10T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-10T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-10T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-10T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-11T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-10,2026-08-11T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-11T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-11T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-11T12:00:00+00:00,gb200,1,1,0,0.0,v2.2.1
2026-08-11,2026-08-11T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-11T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-11T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-12T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-11,2026-08-12T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-12T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-12T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-12T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-12T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-12T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-12T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-13T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-12,2026-08-13T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-13T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-13T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-13T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-13T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-13T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-13T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-14T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-13,2026-08-14T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-14T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-14T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-14T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-14T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-14T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-14T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-15T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-14,2026-08-15T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-15T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-15T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-15T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-15T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-15T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-15T21:00:00+00:00,gb200,1,1,0,0.0,v2.2.1
2026-08-15,2026-08-16T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-15,2026-08-16T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-16T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-16T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-16T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-16T15:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-16T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-16T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-17T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-16,2026-08-17T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-17T06:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-17T09:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-17T12:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-17T18:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-17T21:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-18T00:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-17,2026-08-18T03:00:00+00:00,gb200,1,0,,0.0,v2.2.1
2026-08-18,2026-08-18T06:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-18,2026-08-18T09:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-18,2026-08-18T12:00:00+00:00,gb200,1,0,,0.0,v2.3.0
2026-08-18,2026-08-18T15:00:00+00:00,gb200,1,0,,0.0,v2.3.0
