as_of_date,collected_at,collection_window_id,shade_instance_type,cloud_instance_type,cloud,cloud_display,chip_slug,gpu_type,interconnect,nvlink,num_gpus,vram_per_gpu_in_gb,gpu_manufacturer,vcpus,memory_in_gb,storage_in_gb,hourly_price_dollars,per_gpu_dph,deployment_type,boot_min_seconds,boot_max_seconds,region,region_display,available
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,l40s-48gb.8x,crusoe,Crusoe,l40s,L40S,pcie,False,8,48,nvidia,64,1176,128,11.6,1.45,vm,60,180,houston-usa-2,"US, Houston, TX",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,L40S-8-48G,scaleway,Scaleway,l40s,L40S,pcie,False,8,48,nvidia,64,768,13300,12.39,1.54875,vm,60,240,paris-france-1,"FR, Paris",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx8,L40S-8-48G,scaleway,Scaleway,l40s,L40S,pcie,False,8,48,nvidia,64,768,13300,12.39,1.54875,vm,60,240,warsaw-poland-1,"PL, Warsaw",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx4,L40S-4-48G,scaleway,Scaleway,l40s,L40S,pcie,False,4,48,nvidia,32,384,6900,6.23,1.5575,vm,60,180,warsaw-poland-1,"PL, Warsaw",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx4,L40S-4-48G,scaleway,Scaleway,l40s,L40S,pcie,False,4,48,nvidia,32,384,6900,6.23,1.5575,vm,60,180,paris-france-1,"FR, Paris",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40S,gpu-l40sx1-48gb,digitalocean,DigitalOcean,l40s,L40S,pcie,False,1,48,nvidia,8,64,500,1.57,1.57,vm,120,360,toronto-canada-1,"CA, Toronto",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx2,L40S-2-48G,scaleway,Scaleway,l40s,L40S,pcie,False,2,48,nvidia,16,192,3700,3.15,1.575,vm,60,120,warsaw-poland-1,"PL, Warsaw",True
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40Sx2,L40S-2-48G,scaleway,Scaleway,l40s,L40S,pcie,False,2,48,nvidia,16,192,3700,3.15,1.575,vm,60,120,paris-france-1,"FR, Paris",False
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40S,L40S-1-48G,scaleway,Scaleway,l40s,L40S,pcie,False,1,48,nvidia,8,96,2100,1.61,1.61,vm,60,180,warsaw-poland-1,"PL, Warsaw",True
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,L40S,L40S-1-48G,scaleway,Scaleway,l40s,L40S,pcie,False,1,48,nvidia,8,96,2100,1.61,1.61,vm,60,180,paris-france-1,"FR, Paris",True
