as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,36865594,49870,203531,,RTX 3090,3090-pcie-24gb,3090,PCIe,8,0.42105263157894735,1.1222222222222222,6.933333333333334,0.33315972222222223,False,0.19999999999999998,1.3333333333333333,1.3333333333333333,0.005833333333333334,201.693209390252,179.72662222893743,282.13248,121.9081609623885,verified,0.976541,False,False,0,False,661.2,684.5,True,350.0,804.5,860,0.0,4.0,128,217169,4590.0,1462.7368421052631,"Bulgaria, BG",570.195.03,15613821.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,40097454,52144,70142,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,1.0,0.6703703703703703,0.5333333,0.33518518518518514,False,0.3333333333333333,33.333333333333336,33.333333333333336,0.013888888888888888,88.66355102435725,132.26054572694176,70.53312,116.14313582024356,verified,0.9975974,False,False,1,False,1674.7,1973.1,True,350.0,802.9,860,0.0,4.0,56,128654,9934.0,2903.6,"Maryland, US",595.58.03,29414327.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,45967293,31745,51345,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.5,0.17155555555555554,0.1533333,0.3431111111111111,False,0.19999999999999998,0.13333333333333333,0.13333333333333333,0.007055555555555555,44.88047752037742,261.6090010902829,35.518464,225.22002714011373,verified,0.9990305,False,False,0,False,785.6,812.9,False,370.0,826.5,860,0.0,4.0,12,15999,1117.0,217.13566503968516,"Poland, PL",560.35.03,2097252.9857296944
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,40605963,51559,306949,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.5,0.17555555555555555,0.19999999999999998,0.3511111111111111,False,0.19999999999999998,2.6666666666666665,4.0,0.007222222222222223,44.33177551217862,252.52277190481496,35.26656,238.58858377330037,verified,0.9969042,False,False,0,False,2282.8,2254.8,False,420.0,802.9,860,0.0,4.0,12,32109,4733.0,894.0,"Illinois, US",595.71.05,707112.9857296944
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,36723370,35768,139807,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,0.4,0.28222222222222226,0.28,0.3527777777777778,False,0.19999999999999998,6.666666666666667,6.666666666666667,0.005833333333333334,71.83090485827705,254.5189542222415,70.53312,217.55168585018893,verified,0.9979729,False,False,0,True,839.0,896.9,True,300.0,805.2,860,0.0,3.0,56,57968,1995.0,82.16485032497765,"Quebec, CA",570.169,10672958.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,37930665,16571,87485,,RTX 3090,3090-pcie-24gb,3090,PCIe,8,0.6666666666666666,1.9251851851851853,2.56,0.36097222222222225,False,0.46666666666666673,9.333333333333334,12.0,0.01,225.06968980189328,116.90807280975602,286.162944,144.2873341857596,verified,0.9979053,False,False,0,True,7754.6,6515.1,False,350.0,804.5,860,0.0,4.0,256,343849,6168.0,994.6666666666666,"Spain, ES",590.48.01,6047451.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,26660620,40761,80012,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,0.3333333333333333,0.24222222222222223,0.24,0.36333333333333334,False,0.19999999999999998,0.0026666666666666666,0.004,0.005,74.43401100275693,307.2963756994552,70.53312,188.59020243426446,unverified,0.9972423,False,False,0,True,867.4,48.8,False,350.0,804.9,860,0.0,3.0,64,42921,3359.0,245.66666666666666,"Finland, FI",535.247.01,13361730.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,18811403,8966,3497,,RTX 3090,3090-pcie-24gb,3090,PCIe,4,0.6666666666666666,0.9881481481481481,0.988,0.3705555555555556,False,0.1333333333333333,12.287999999999998,12.287999999999998,0.010277777777777776,144.43551321952089,146.1678731981658,141.06624,140.77040235409035,verified,0.989466,False,False,1,True,2946.6,2969.2,False,370.0,805.3,860,0.0,3.0,32,171751,1997.0,499.3333333333333,"Czechia, CZ",595.80,5481510.985729694
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,27765150,45340,289919,,RTX 3090,3090-pcie-24gb,3090,PCIe,2,0.5,0.3755555555555556,0.592,0.3755555555555556,False,0.19999999999999998,0.0026666666666666666,0.004,0.007777777777777778,76.94942125885026,204.89490867741193,71.540736,70.88204441055743,deverified,0.9723947,True,False,0,False,51.7,23.0,False,350.0,803.8,860,0.0,3.0,12,7941,1048.0,71.0,"South Africa, ZA",580.95.05,15635728.563349962
2026-07-29,2026-07-29T13:21:26.840124+00:00,2026-07-29-0600,33731289,32831,50627,,RTX 3090,3090-pcie-24gb,3090,PCIe,1,0.5,0.19074074074074074,0.16,0.3814814814814815,False,0.3666666666666667,0.0026666666666666666,0.004,0.007777777777777778,44.86000077155154,235.1883535595906,35.518464,203.50050399287767,verified,0.9957264,False,False,0,False,891.2,899.1,False,350.0,824.9,860,0.0,3.0,12,32039,596.0,279.75000000000034,"Quebec, CA",560.35.03,5290801.985729694
