geolocation,n_offers,median_per_gpu_dph
"The Netherlands, NL",10,2.4671296296296292
"Washington, US",10,1.7344444444444445
", US",9,4.102222222222222
"Czechia, CZ",9,2.401333333333333
"Japan, JP",8,2.166027777777778
"India, IN",7,2.1622222222222223
"Taiwan, TW",6,3.17
"France, FR",4,1.4675925925925928
"Australia, AU",3,2.1555555555555554
"California, US",3,2.267037037037037
"Germany, DE",3,1.8688888888888886
"Idaho, US",3,2.002222222222222
"Montana, US",3,2.1384444444444446
"Thailand, TH",2,1.7875
"Slovenia, SI",1,2.3335185185185185
