as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-06-12,geo:EU,4,3,0.75,0.0,1.0,1.0,7,v2.0.0
2026-06-12,geo:US,5,4,0.5714,0.0,1.0,0.8571,7,v2.0.0
2026-06-12,global,6,4,0.4048,0.0,1.0,0.8571,7,v2.0.0
2026-06-12,tier:T1,3,3,0.8095,0.4286,1.0,0.8095,7,v2.0.0
2026-06-12,tier:T3,1,0,0.0,0.0,0.0,,7,v2.0.0
2026-06-13,geo:EU,3,3,1.0,1.0,1.0,1.0,9,v2.0.0
2026-06-13,geo:US,4,4,0.5556,0.0,1.0,0.8056,9,v2.0.0
2026-06-13,global,5,4,0.4444,0.0,1.0,0.8056,9,v2.0.0
2026-06-13,tier:T1,3,3,0.7407,0.2222,1.0,0.7407,9,v2.0.0
2026-06-13,tier:T3,1,0,0.0,0.0,0.0,,9,v2.0.0
2026-06-14,geo:EU,4,3,0.75,0.0,1.0,1.0,1,v2.0.0
2026-06-14,geo:US,5,4,0.4,0.0,1.0,0.75,1,v2.0.0
2026-06-14,global,6,4,0.3333,0.0,1.0,0.75,1,v2.0.0
2026-06-14,tier:T1,3,3,0.6667,0.0,1.0,0.6667,1,v2.0.0
2026-06-14,tier:T3,1,0,0.0,0.0,0.0,,1,v2.0.0
