as_of_date,collected_at,collection_window_id,source_name,source_display_name,silicon_id,gpu_model,form_factor,commitment_term,interruptibility,region,cheapest_usd_hour,median_usd_hour,n_listings,methodology_version
2026-07-25,2026-07-25T09:32:18.972643+00:00,2026-07-24-1800,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-25,2026-07-25T09:32:18.972643+00:00,2026-07-24-1800,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T09:32:18.972643+00:00,2026-07-24-1800,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-25,2026-07-25T09:32:18.972643+00:00,2026-07-24-1800,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T12:18:23.491293+00:00,2026-07-25-0600,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-25,2026-07-25T12:18:23.491293+00:00,2026-07-25-0600,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T12:18:23.491293+00:00,2026-07-25-0600,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-25,2026-07-25T12:18:23.491293+00:00,2026-07-25-0600,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T18:17:18.082097+00:00,2026-07-25-1000,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-25,2026-07-25T18:17:18.082097+00:00,2026-07-25-1000,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T18:17:18.082097+00:00,2026-07-25-1000,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-25,2026-07-25T18:17:18.082097+00:00,2026-07-25-1000,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T21:17:03.669063+00:00,2026-07-25-1400,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-25,2026-07-25T21:17:03.669063+00:00,2026-07-25-1400,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-25T21:17:03.669063+00:00,2026-07-25-1400,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-25,2026-07-25T21:17:03.669063+00:00,2026-07-25-1400,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-26T00:28:28.107437+00:00,2026-07-25-1800,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-25,2026-07-26T00:28:28.107437+00:00,2026-07-25-1800,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-25,2026-07-26T00:28:28.107437+00:00,2026-07-25-1800,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-25,2026-07-26T00:28:28.107437+00:00,2026-07-25-1800,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T09:40:14.748059+00:00,2026-07-25-1800,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-26,2026-07-26T09:40:14.748059+00:00,2026-07-25-1800,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T09:40:14.748059+00:00,2026-07-25-1800,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-26,2026-07-26T09:40:14.748059+00:00,2026-07-25-1800,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T12:22:19.429672+00:00,2026-07-26-0600,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-26,2026-07-26T12:22:19.429672+00:00,2026-07-26-0600,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T12:22:19.429672+00:00,2026-07-26-0600,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-26,2026-07-26T12:22:19.429672+00:00,2026-07-26-0600,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T18:19:56.768781+00:00,2026-07-26-1000,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-26,2026-07-26T18:19:56.768781+00:00,2026-07-26-1000,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T18:19:56.768781+00:00,2026-07-26-1000,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-26,2026-07-26T18:19:56.768781+00:00,2026-07-26-1000,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T21:18:01.609115+00:00,2026-07-26-1400,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-26,2026-07-26T21:18:01.609115+00:00,2026-07-26-1400,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-26T21:18:01.609115+00:00,2026-07-26-1400,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-26,2026-07-27T00:28:32.295806+00:00,2026-07-26-1800,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-26,2026-07-27T00:28:32.295806+00:00,2026-07-26-1800,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-26,2026-07-27T00:28:32.295806+00:00,2026-07-26-1800,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
2026-07-26,2026-07-27T00:28:32.295806+00:00,2026-07-26-1800,runpod_spot,RunPod · Spot,b300-sxm-288gb,B300,SXM,OnDemand,Interruptible,Other,6.9400,,,v2.2.1
2026-07-27,2026-07-27T10:18:19.313382+00:00,2026-07-26-1800,runpod_cluster,RunPod · Cluster,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,8.8680,,,v2.2.1
2026-07-27,2026-07-27T10:18:19.313382+00:00,2026-07-26-1800,runpod_community,RunPod · Community,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,6.9400,,,v2.2.1
2026-07-27,2026-07-27T10:18:19.313382+00:00,2026-07-26-1800,runpod_secure,RunPod · Secure,b300-sxm-288gb,B300,SXM,OnDemand,NonInterruptible,Other,7.3900,,,v2.2.1
