cloud,cloud_display,n_skus,n_distinct_skus,n_available,median_per_gpu_dph,min_per_gpu_dph,max_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds
massedcompute,Massed Compute,15,4,0,1.35,1.35,1.35,480.0,600.0
crusoe,Crusoe,13,5,0,1.65,1.65,1.95,300.0,480.0
hyperstack,Hyperstack,6,5,3,1.35,1.35,1.4,300.0,480.0
vultr,Vultr,6,1,0,2.6,2.6,2.6,300.0,600.0
