as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-06-14,geo:US,1,1,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-14,global,1,1,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-14,tier:T1,1,1,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-15,geo:US,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-15,global,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-15,tier:T1,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-16,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-16,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-16,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-17,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-17,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-17,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-18,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-18,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-18,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-19,geo:US,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-19,global,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-19,tier:T1,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-20,geo:US,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-20,global,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-20,tier:T1,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-21,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-21,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-21,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-22,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-22,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-22,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-23,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-23,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-23,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-24,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-24,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-24,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-25,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-25,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-25,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-26,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-26,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-26,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-28,geo:US,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-28,global,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-28,tier:T1,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-29,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-29,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-29,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-30,geo:US,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-30,global,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-30,tier:T1,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-07-01,geo:US,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-07-01,global,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-07-01,tier:T1,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-07-02,geo:US,1,1,1.0,1.0,1.0,1.0,1,v2.0.0
2026-07-02,global,1,1,1.0,1.0,1.0,1.0,1,v2.0.0
2026-07-02,tier:T1,1,1,1.0,1.0,1.0,1.0,1,v2.0.0
