geolocation,n_offers,median_per_gpu_dph
", US",18,8.027412280701753
"Japan, JP",9,6.902173976608187
", CA",5,6.843201754385965
"France, FR",5,3.9480135823429543
"Saudi Arabia, SA",4,9.633406432748536
"Sweden, SE",4,11.251827485380119
"Czechia, CZ",3,15.792324561403506
"Iceland, IS",2,3.2242324561403506
"Italy, IT",2,3.5201023391812862
"New Jersey, US",1,1.3172514619883042
