as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-08-07,2026-08-08T01:17:44.377220+00:00,2026-08-07-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-08,2026-08-08T07:11:01.904591+00:00,2026-08-07-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-08,2026-08-08T13:08:43.795546+00:00,2026-08-08-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-08,2026-08-08T19:08:41.468288+00:00,2026-08-08-1400,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-08,2026-08-09T01:14:15.549383+00:00,2026-08-08-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-09,2026-08-09T07:13:39.757352+00:00,2026-08-08-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-09,2026-08-09T13:14:54.825816+00:00,2026-08-09-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-09,2026-08-09T19:03:15.138154+00:00,2026-08-09-1400,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-09,2026-08-10T01:19:47.296907+00:00,2026-08-09-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-10,2026-08-10T07:16:01.092293+00:00,2026-08-09-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-10,2026-08-10T13:18:14.475237+00:00,2026-08-10-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-10,2026-08-10T19:12:49.251939+00:00,2026-08-10-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-10,2026-08-11T01:12:06.943348+00:00,2026-08-10-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-11,2026-08-11T07:17:37.384438+00:00,2026-08-10-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-11,2026-08-11T13:17:25.532499+00:00,2026-08-11-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-11,2026-08-11T19:19:23.041455+00:00,2026-08-11-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-11,2026-08-12T01:16:25.490951+00:00,2026-08-11-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-12,2026-08-12T07:13:19.464957+00:00,2026-08-11-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-12,2026-08-12T13:21:19.371593+00:00,2026-08-12-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-12,2026-08-12T19:09:57.027072+00:00,2026-08-12-1400,b300,7,4,0.5714285714285714,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.705,120.0,240.0,v2.2.1
2026-08-12,2026-08-13T01:19:21.101199+00:00,2026-08-12-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-13,2026-08-13T07:16:31.406672+00:00,2026-08-12-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-13,2026-08-13T13:17:37.101798+00:00,2026-08-13-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-13,2026-08-13T19:15:50.531819+00:00,2026-08-13-1400,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-13,2026-08-14T01:22:58.464338+00:00,2026-08-13-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-14,2026-08-14T07:15:15.068106+00:00,2026-08-13-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-14,2026-08-14T13:11:49.545864+00:00,2026-08-14-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-14,2026-08-14T19:15:21.872993+00:00,2026-08-14-1400,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-14,2026-08-15T01:15:55.728282+00:00,2026-08-14-1800,b300,7,3,0.42857142857142855,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-15,2026-08-15T07:07:18.634981+00:00,2026-08-14-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-15,2026-08-15T13:17:55.721844+00:00,2026-08-15-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-15,2026-08-15T19:03:23.553240+00:00,2026-08-15-1400,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-15,2026-08-16T01:19:12.673744+00:00,2026-08-15-1800,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-16,2026-08-16T07:04:20.476633+00:00,2026-08-15-1800,b300,7,3,0.42857142857142855,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-16,2026-08-16T13:06:04.191202+00:00,2026-08-16-0600,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-16,2026-08-16T18:57:27.246278+00:00,2026-08-16-1000,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-16,2026-08-17T01:15:34.159845+00:00,2026-08-16-1800,b300,7,3,0.42857142857142855,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-17,2026-08-17T07:16:51.185223+00:00,2026-08-16-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-17,2026-08-17T13:09:21.650036+00:00,2026-08-17-0600,b300,7,2,0.2857142857142857,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-17,2026-08-17T19:11:14.973922+00:00,2026-08-17-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.2.1
2026-08-17,2026-08-18T01:11:57.508453+00:00,2026-08-17-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.2.1
2026-08-18,2026-08-18T07:09:06.023707+00:00,2026-08-17-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.3.0
2026-08-18,2026-08-18T13:16:59.612303+00:00,2026-08-18-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.3.0
2026-08-18,2026-08-18T19:14:07.122351+00:00,2026-08-18-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.3.0
2026-08-18,2026-08-19T01:16:57.659760+00:00,2026-08-18-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.3.0
2026-08-19,2026-08-19T07:11:57.926130+00:00,2026-08-18-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.3.1
2026-08-19,2026-08-19T13:08:04.535715+00:00,2026-08-19-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.3.1
2026-08-19,2026-08-19T19:09:47.918017+00:00,2026-08-19-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.3.1
2026-08-19,2026-08-20T01:12:52.044630+00:00,2026-08-19-1800,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.3.1
2026-08-20,2026-08-20T07:17:49.369569+00:00,2026-08-19-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,120.0,240.0,v2.3.1
2026-08-20,2026-08-20T13:36:22.258718+00:00,2026-08-20-0600,b300,7,1,0.14285714285714285,2,1,3,7.705,7.75625,7.91,7.91,8.349,9.0075,Verda,7.91,120.0,240.0,v2.3.1
2026-08-20,2026-08-20T19:07:22.260046+00:00,2026-08-20-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.1
2026-08-20,2026-08-21T01:22:17.900766+00:00,2026-08-20-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.1
2026-08-21,2026-08-21T07:16:22.053807+00:00,2026-08-20-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-21,2026-08-21T13:10:28.526870+00:00,2026-08-21-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-21,2026-08-21T19:12:17.679762+00:00,2026-08-21-1400,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-21,2026-08-22T01:16:45.075718+00:00,2026-08-21-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-22,2026-08-22T07:03:12.687961+00:00,2026-08-21-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-22,2026-08-22T13:11:54.071758+00:00,2026-08-22-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-22,2026-08-22T18:57:31.971336+00:00,2026-08-22-1000,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-22,2026-08-23T01:15:16.987694+00:00,2026-08-22-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-23,2026-08-23T07:10:07.080800+00:00,2026-08-22-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-23,2026-08-23T13:12:51.991500+00:00,2026-08-23-0600,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-23,2026-08-23T18:57:24.050976+00:00,2026-08-23-1000,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-23,2026-08-24T01:16:15.990934+00:00,2026-08-23-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
2026-08-24,2026-08-24T07:10:48.693489+00:00,2026-08-23-1800,b300,7,0,0.0,2,0,3,7.705,7.75625,7.91,7.91,8.349,9.0075,,,300.0,480.0,v2.3.2
