cloud,cloud_display,n_skus,n_distinct_skus,n_available,median_per_gpu_dph,min_per_gpu_dph,max_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds
lambdalabs,Lambda Labs,1,1,1,1.49,1.49,1.49,120.0,360.0
latitude,Latitude,1,1,0,4.23,4.23,4.23,60.0,180.0
