as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-06-21,2026-06-21T10:23:13.576773+00:00,2026-06-20-1800,rtx-pro-6000,35,7,0.2,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-21,2026-06-21T15:05:29.882089+00:00,2026-06-21-1000,rtx-pro-6000,35,6,0.17142857142857143,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-21,2026-06-21T20:20:49.920438+00:00,2026-06-21-1400,rtx-pro-6000,35,6,0.17142857142857143,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-22,2026-06-22T06:13:32.615019+00:00,2026-06-21-1800,rtx-pro-6000,35,6,0.17142857142857143,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-22,2026-06-22T12:39:41.780819+00:00,2026-06-22-0600,rtx-pro-6000,35,4,0.11428571428571428,7,2,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-22,2026-06-22T17:20:07.971631+00:00,2026-06-22-1000,rtx-pro-6000,35,5,0.14285714285714285,7,2,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-22,2026-06-22T21:28:14.175047+00:00,2026-06-22-1400,rtx-pro-6000,35,9,0.2571428571428571,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-22,2026-06-23T04:48:23.416203+00:00,2026-06-22-1800,rtx-pro-6000,35,11,0.3142857142857143,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-23,2026-06-23T10:24:51.461859+00:00,2026-06-22-1800,rtx-pro-6000,35,7,0.2,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-23,2026-06-23T15:41:37.748801+00:00,2026-06-23-1000,rtx-pro-6000,35,8,0.22857142857142856,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
2026-06-23,2026-06-23T20:57:14.989636+00:00,2026-06-23-1400,rtx-pro-6000,35,6,0.17142857142857143,7,3,13,0.99,1.3,1.9575,2.19,3.41,3.41,Verda,1.95,120.0,240.0,v2.0.0
