as_of_date,collected_at,collection_window_id,offer_id,machine_id,host_id,cluster_id,gpu_name,silicon_id,gpu_model,form_factor,num_gpus,gpu_frac,dph_total,min_bid,per_gpu_dph,is_bid,storage_cost_per_gb_mo,internet_down_cost_per_tb,internet_up_cost_per_tb,vram_cost_per_hour,dlperf,dlperf_per_dphtotal,total_flops,score,verification,reliability,rentable,rented,hosting_type,is_vm_deverified,inet_down_mbps,inet_up_mbps,static_ip,gpu_max_power_w,gpu_mem_bw_gbps,compute_cap,bw_nvlink_gbps,pci_gen,cpu_cores,cpu_ram_mb,disk_bw_mbps,disk_space_gb,geolocation,driver_version,duration_seconds
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,47417210,147077,634642,,RTX 4090,4090-pcie-24gb,4090,PCIe,8,1.0,0.9614814814814816,0.576,0.1201851851851852,False,0.1333333333333333,2.6666666666666665,4.0,0.005002442598925257,246.09438844608417,255.95333158876238,651.165696,163.8013569771589,deverified,0.9921686,True,False,0,False,493.7,173.4,True,450.0,879.0,890,0.0,4.0,144,1031704,983.0,193.0,", CN",580.173.02,42380078.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,47417200,147077,634642,,RTX 4090,4090-pcie-24gb,4090,PCIe,4,0.5,0.4814814814814815,0.248,0.12037037037037038,False,0.1333333333333333,2.6666666666666665,4.0,0.005002442598925257,204.29284381894436,424.3005217778075,325.582848,269.33596251915924,deverified,0.9921686,True,False,0,False,493.7,173.4,True,450.0,878.5,890,0.0,4.0,144,515852,983.0,96.5,", CN",580.173.02,42380078.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,47417204,147077,634642,,RTX 4090,4090-pcie-24gb,4090,PCIe,1,0.125,0.1214814814814815,0.06,0.1214814814814815,False,0.1333333333333333,2.6666666666666665,4.0,0.005002442598925257,80.49950167354474,662.6483369468622,81.395712,430.4734000588122,deverified,0.9921686,True,False,0,False,493.7,173.4,True,450.0,878.9,890,0.0,4.0,144,128963,983.0,24.125,", CN",580.173.02,42380078.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,32668911,45335,155386,,RTX 4090,4090-pcie-24gb,4090,PCIe,8,1.0,1.0688888888888888,1.0666666666666667,0.1336111111111111,False,0.19999999999999998,1.3333333333333333,1.3333333333333333,0.005558269554361396,463.01886471362275,433.1777320605619,651.165696,281.25282716057484,deverified,0.9984767,False,False,0,False,212.8,200.8,False,450.0,878.0,890,0.0,4.0,384,257523,3472.0,6665.9,", CN",580.76.05,1216025.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,32668910,45335,155386,,RTX 4090,4090-pcie-24gb,4090,PCIe,4,0.5,0.5355555555555556,0.5333333333333333,0.1338888888888889,False,0.19999999999999998,1.3333333333333333,1.3333333333333333,0.005558269554361396,309.9795016482612,578.7998993432262,325.582848,380.4555877911538,deverified,0.9984767,False,False,0,False,212.8,200.8,False,450.0,878.3,890,0.0,4.0,384,128761,3472.0,3332.95,", CN",580.76.05,1216025.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,32668903,45335,155386,,RTX 4090,4090-pcie-24gb,4090,PCIe,2,0.25,0.2688888888888889,0.26666666666666666,0.13444444444444445,False,0.19999999999999998,1.3333333333333333,1.3333333333333333,0.005558269554361396,193.93635218747386,721.2508965649854,162.791424,451.7268401316011,deverified,0.9984767,False,False,0,False,212.8,200.8,False,450.0,878.4,890,0.0,4.0,384,64380,3472.0,1666.475,", CN",580.76.05,1216025.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,48369053,146283,635958,,RTX 4090,4090-pcie-24gb,4090,PCIe,1,0.5,0.1348148148148148,0.13333333333333333,0.1348148148148148,False,0.1333333333333333,1.3333333333333333,1.3333333333333333,0.005558269554361396,96.99893627757875,719.4976042567655,81.395712,305.2195778299612,unverified,0.8732462,True,False,0,False,932.5,778.9,False,400.0,878.6,890,0.0,4.0,24,24040,6683.6,382.5,"Norway, NO",580.173.02,1720619.3976824284
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,45814738,141239,58023,,RTX 4090,4090-pcie-24gb,4090,PCIe,1,1.0,0.13555555555555554,0.1066667,0.13555555555555554,False,0.19999999999999998,2.6666666666666665,4.0,0.005929013954026982,86.75259119483225,639.978131765156,82.182144,473.5405272940658,unverified,0.9950708,False,False,0,False,653.9,439.2,False,450.0,760.1,890,0.0,3.0,6,15914,973.0,1561.0,"South Korea, KR",580.173.02,213967.08312940598
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,32668906,45335,155386,,RTX 4090,4090-pcie-24gb,4090,PCIe,1,0.125,0.13555555555555554,0.13333333333333333,0.13555555555555554,False,0.19999999999999998,1.3333333333333333,1.3333333333333333,0.005558269554361396,96.98496159517558,715.4628314398199,81.395712,446.12237446415264,deverified,0.9984767,False,False,0,False,212.8,200.8,False,450.0,878.4,890,0.0,4.0,384,32190,3472.0,833.2375,", CN",580.76.05,1216025.083129406
2026-08-27,2026-08-28T03:45:18.096029+00:00,2026-08-27-1800,46655549,146305,434175,,RTX 4090,4090-pcie-24gb,4090,PCIe,1,1.0,0.14814814814814814,0.12,0.14814814814814814,False,0.1333333333333333,40.0,53.333333333333336,0.006114096509797536,106.79618713097115,720.8742631340552,81.395712,209.2444919292534,deverified,0.9666768,False,False,0,False,661.9,17.6,True,450.0,1522.0,890,0.0,4.0,32,16384,3310.9802980532127,1408.9,"Texas, US",595.58.03,1849097.083129406
