chip_slug,scope,window_days,as_of_date,n_sources,n_sources_8x,n_sources_thin,n_cycles,confidence,n_available,breadth,n_available_8x,breadth_8x,panel_signature,pct_available_median,pct_available_mean,pct_available_min,pct_available_max,pct_available_8x_median,pct_available_8x_mean,methodology_version
a100-sxm-80gb,geo:EU,7,2026-08-17,2,0,0,97,thin,1,0.5,0,,c4b2d406,0.5,0.5,0.0,1.0,,,v2.2.1
a100-sxm-80gb,geo:US,7,2026-08-17,6,3,0,292,ok,5,0.8333,2,0.6667,e9e24b01,0.7959,0.6156,0.0,1.0,0.102,0.2925,v2.2.1
a100-sxm-80gb,global,7,2026-08-17,13,6,0,479,ok,11,0.8462,3,0.5,72e8ccd0,1.0,0.7149,0.0,1.0,0.051,0.2663,v2.2.1
a100-sxm-80gb,tier:T2,7,2026-08-17,3,3,0,146,ok,2,0.6667,2,0.6667,b810ae34,0.102,0.3673,0.0,1.0,0.102,0.2925,v2.2.1
a100-sxm-80gb,tier:T3,7,2026-08-17,3,0,0,147,ok,3,1.0,0,,d961b4c1,1.0,0.8639,0.5918,1.0,,,v2.2.1
