cloud,cloud_display,n_skus,n_distinct_skus,n_available,median_per_gpu_dph,min_per_gpu_dph,max_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds
excesssupply,Excess Supply?,15,6,1,4.51625,2.25,4.63,300.0,480.0
verda,Verda,8,4,0,4.3075,4.205,4.615,300.0,480.0
nebius,Nebius,6,2,0,4.573125,4.51625,4.63,300.0,450.0
digitalocean,DigitalOcean,4,2,0,4.47,4.47,4.47,300.0,540.0
boostrun,BoostRun?,2,1,0,2.45,2.45,2.45,300.0,480.0
amaya,Amaya?,1,1,0,2.25,2.25,2.25,300,480
horizon,Horizon?,1,1,0,3.0,3.0,3.0,780,1380
