cloud,cloud_display,n_skus,n_distinct_skus,n_available,median_per_gpu_dph,min_per_gpu_dph,max_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds
lambdalabs,Lambda Labs,18,4,1,3.04,2.99,3.29,300.0,720.0
digitalocean,DigitalOcean,6,2,0,3.165,2.99,3.34,270.0,480.0
voltagepark,Voltage Park,5,5,0,1.99,1.99,1.99,60.0,180.0
massedcompute,Massed Compute,4,1,0,2.75,2.75,2.75,420.0,660.0
hyperstack,Hyperstack,3,1,1,2.4,2.4,2.4,360.0,540.0
verda,Verda,3,1,0,2.36,2.36,2.36,120.0,240.0
nebius,Nebius,2,2,0,3.029375,2.99875,3.06,120.0,300.0
denvr,Denvr,1,1,0,2.35,2.35,2.35,600.0,900.0
horizon,Horizon?,1,1,0,1.95,1.95,1.95,660.0,1080.0
