as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-05-28,geo:EU,3,2,0.6667,0.0,1.0,0.5,7,v2.0.0
2026-05-28,geo:US,8,5,0.3571,0.0,1.0,0.6,7,v2.0.0
2026-05-28,global,10,5,0.2,0.0,1.0,0.4,7,v2.0.0
2026-05-28,tier:T1,3,3,0.3333,0.0,1.0,0.3333,7,v2.0.0
2026-05-28,tier:T2,2,2,0.0714,0.0,0.1429,0.5,7,v2.0.0
2026-05-28,tier:T3,3,0,0.0952,0.0,0.1429,,7,v2.0.0
2026-05-29,geo:EU,4,2,0.6786,0.0,1.0,0.5,7,v2.0.0
2026-05-29,geo:US,8,5,0.3571,0.0,1.0,0.5714,7,v2.0.0
2026-05-29,global,10,5,0.2,0.0,1.0,0.3714,7,v2.0.0
2026-05-29,tier:T1,3,3,0.3333,0.0,1.0,0.3333,7,v2.0.0
2026-05-29,tier:T2,2,2,0.0714,0.0,0.1429,0.4286,7,v2.0.0
2026-05-29,tier:T3,3,0,0.0952,0.0,0.1429,,7,v2.0.0
2026-05-30,geo:EU,3,2,0.6667,0.0,1.0,0.5,10,v2.0.0
2026-05-30,geo:US,7,5,0.4143,0.0,1.0,0.76,10,v2.0.0
2026-05-30,global,9,5,0.2222,0.0,1.0,0.56,10,v2.0.0
2026-05-30,tier:T1,3,3,0.6,0.0,1.0,0.6,10,v2.0.0
2026-05-30,tier:T2,2,2,0.0,0.0,0.0,0.5,10,v2.0.0
2026-05-30,tier:T3,3,0,0.0667,0.0,0.1,,10,v2.0.0
2026-05-31,geo:EU,4,2,0.6111,0.0,1.0,0.5,9,v2.0.0
2026-05-31,geo:US,7,4,0.3968,0.0,1.0,0.6389,9,v2.0.0
2026-05-31,global,10,5,0.2222,0.0,1.0,0.5111,9,v2.0.0
2026-05-31,tier:T1,3,3,0.5185,0.0,1.0,0.5185,9,v2.0.0
2026-05-31,tier:T2,2,2,0.2222,0.0,0.4444,0.5,8,v2.0.0
2026-05-31,tier:T3,3,0,0.0741,0.0,0.2222,,9,v2.0.0
2026-06-01,geo:EU,3,2,0.4,0.0,1.0,0.5,5,v2.0.0
2026-06-01,geo:US,8,5,0.325,0.0,1.0,0.6,5,v2.0.0
2026-06-01,global,10,5,0.16,0.0,1.0,0.4,5,v2.0.0
2026-06-01,tier:T1,3,3,0.3333,0.0,1.0,0.3333,5,v2.0.0
2026-06-01,tier:T2,2,2,0.0,0.0,0.0,0.5,5,v2.0.0
2026-06-01,tier:T3,3,0,0.0667,0.0,0.2,,5,v2.0.0
2026-06-02,geo:EU,4,2,0.5,0.0,1.0,0.5,6,v2.0.0
2026-06-02,geo:US,8,5,0.2708,0.0,1.0,0.6,6,v2.0.0
2026-06-02,global,10,5,0.1167,0.0,1.0,0.4,6,v2.0.0
2026-06-02,tier:T1,3,3,0.3889,0.0,1.0,0.3889,6,v2.0.0
2026-06-02,tier:T2,2,2,0.0,0.0,0.0,0.4167,6,v2.0.0
2026-06-02,tier:T3,3,0,0.0,0.0,0.0,,6,v2.0.0
2026-06-03,geo:EU,3,2,0.3333,0.0,1.0,0.5,5,v2.0.0
2026-06-03,geo:US,8,5,0.325,0.0,1.0,0.56,5,v2.0.0
2026-06-03,global,10,5,0.16,0.0,1.0,0.36,5,v2.0.0
2026-06-03,tier:T1,3,3,0.3333,0.0,1.0,0.3333,5,v2.0.0
2026-06-03,tier:T2,2,2,0.1,0.0,0.2,0.4,5,v2.0.0
2026-06-03,tier:T3,3,0,0.0,0.0,0.0,,5,v2.0.0
2026-06-04,geo:EU,4,2,0.5,0.0,1.0,0.5,8,v2.0.0
2026-06-04,geo:US,8,5,0.375,0.0,1.0,0.55,8,v2.0.0
2026-06-04,global,10,5,0.2,0.0,1.0,0.35,8,v2.0.0
2026-06-04,tier:T1,3,3,0.3333,0.0,1.0,0.3333,8,v2.0.0
2026-06-04,tier:T2,2,2,0.0,0.0,0.0,0.375,8,v2.0.0
2026-06-04,tier:T3,3,0,0.125,0.0,0.375,,8,v2.0.0
2026-06-05,geo:EU,4,2,0.5,0.0,1.0,0.5,7,v2.0.0
2026-06-05,geo:US,8,5,0.5357,0.0,1.0,0.6,7,v2.0.0
2026-06-05,global,10,5,0.3286,0.0,1.0,0.4,7,v2.0.0
2026-06-05,tier:T1,3,3,0.4286,0.0,1.0,0.4286,7,v2.0.0
2026-06-05,tier:T2,2,2,0.0,0.0,0.0,0.3571,7,v2.0.0
2026-06-05,tier:T3,3,0,0.3333,0.0,1.0,,7,v2.0.0
2026-06-06,geo:EU,4,2,0.5,0.0,1.0,0.5,10,v2.0.0
2026-06-06,geo:US,8,5,0.5625,0.0,1.0,0.66,10,v2.0.0
2026-06-06,global,10,5,0.35,0.0,1.0,0.46,10,v2.0.0
2026-06-06,tier:T1,3,3,0.4333,0.0,1.0,0.4333,10,v2.0.0
2026-06-06,tier:T2,2,2,0.1,0.0,0.2,0.5,10,v2.0.0
2026-06-06,tier:T3,3,0,0.3333,0.0,1.0,,10,v2.0.0
2026-06-07,geo:EU,4,2,0.5,0.0,1.0,0.5,9,v2.0.0
2026-06-07,geo:US,8,5,0.5,0.0,1.0,0.5778,9,v2.0.0
2026-06-07,global,9,5,0.3333,0.0,1.0,0.3778,9,v2.0.0
2026-06-07,tier:T1,3,3,0.3333,0.0,1.0,0.3333,9,v2.0.0
2026-06-07,tier:T2,2,2,0.0,0.0,0.0,0.4444,9,v2.0.0
2026-06-07,tier:T3,2,0,0.5,0.0,1.0,,9,v2.0.0
2026-06-08,geo:EU,4,2,0.5357,0.0,1.0,0.5,7,v2.0.0
2026-06-08,geo:US,8,5,0.4643,0.0,1.0,0.6,7,v2.0.0
2026-06-08,global,10,5,0.2857,0.0,1.0,0.4,7,v2.0.0
2026-06-08,tier:T1,3,3,0.381,0.0,1.0,0.381,7,v2.0.0
2026-06-08,tier:T2,2,2,0.0,0.0,0.0,0.4286,7,v2.0.0
2026-06-08,tier:T3,3,0,0.2381,0.0,0.5714,,7,v2.0.0
2026-06-09,geo:EU,4,2,0.5714,0.0,1.0,0.5,7,v2.0.0
2026-06-09,geo:US,8,5,0.5179,0.0,1.0,0.5143,7,v2.0.0
