as_of_date,collected_at,collection_window_id,gpu_name,silicon_id,n_offers,per_gpu_dph_min,per_gpu_dph_p10,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,min_bid_p50,n_verified,n_deverified,n_other_verification,median_verified,median_deverified,n_1x,n_2x,n_4x,n_8x,n_other_multigpu,reliability_p25,reliability_p50,reliability_p75,inet_down_p50_mbps,inet_down_p75_mbps,inet_up_p50_mbps,egress_cost_per_tb_p50,storage_cost_per_gb_mo_p50,methodology_version
2026-05-03,2026-05-03 19:06:59.685547,2026-05-03-1400,L40S,l40s-pcie-48gb,60,0.45362962962962966,0.5600555555555556,0.6274074074074073,1.200925925925926,2.248888888888889,4.497777777777778,9.659259259259258,1.0666666666666667,47,0,13,1.2018518518518517,,17,16,16,10,1,0.9834796,0.9974246,0.9992498,925.9,4799.8,932.6,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-03,2026-05-03 19:19:36.321690,2026-05-03-1400,L40S,l40s-pcie-48gb,59,0.45362962962962966,0.5602777777777779,0.6274074074074073,1.1222222222222222,2.2459259259259263,4.814814814814815,9.659259259259258,0.8,46,0,13,1.200925925925926,,15,16,17,10,1,0.9874408,0.9974266,0.9985026,1940.0,4799.8,1447.3,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-03,2026-05-03 21:45:28.096913,2026-05-03-1400,L40S,l40s-pcie-48gb,59,0.40018518518518514,0.5600555555555556,0.6288888888888888,1.200925925925926,2.2459259259259263,4.814814814814815,9.659259259259258,1.0666665,46,0,13,1.2014814814814814,,16,16,16,10,1,0.9875256,0.9974357,0.9992024,938.2,4799.8,936.0,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-03,2026-05-04 00:45:23.006210,2026-05-03-1800,L40S,l40s-pcie-48gb,61,0.40018518518518514,0.5602777777777779,0.6274074074074073,1.1222222222222222,2.2459259259259263,4.497777777777778,9.659259259259258,0.934,44,4,13,1.200925925925926,1.1211111111111112,15,17,17,11,1,0.9926806,0.9974676,0.9985039,925.9,4799.8,935.3,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-03,2026-05-04 00:49:35.876326,2026-05-03-1800,L40S,l40s-pcie-48gb,61,0.40018518518518514,0.5602777777777779,0.6938888888888889,1.200925925925926,2.2459259259259263,4.497777777777778,9.659259259259258,1.0666666666666667,44,4,13,1.2014814814814814,1.1211111111111112,15,17,17,11,1,0.9877648,0.9974676,0.9982594,925.9,4697.1,935.3,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-03,2026-05-04 03:45:28.766167,2026-05-03-1800,L40S,l40s-pcie-48gb,65,0.40018518518518514,0.5602777777777779,0.600462962962963,1.1214814814814815,2.2459259259259263,4.497777777777778,9.659259259259258,1.0666665,48,4,13,1.1222222222222222,1.1211111111111112,16,18,19,11,1,0.9927242,0.9974591,0.9985047,926.8,4799.8,935.1,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-04,2026-05-04 06:45:26.583713,2026-05-03-1800,L40S,l40s-pcie-48gb,67,0.40018518518518514,0.5602777777777779,0.6274074074074073,1.1222222222222222,2.2459259259259263,4.497777777777778,9.659259259259258,1.0666665,50,4,13,1.200925925925926,1.1211111111111112,18,18,19,11,1,0.9871815,0.9974679,0.9982707,938.2,5166.0,936.6,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-04,2026-05-04 09:45:31.048036,2026-05-03-1800,L40S,l40s-pcie-48gb,65,0.40018518518518514,0.5602777777777779,0.6288888888888888,1.1222222222222222,2.2459259259259263,4.497777777777778,9.659259259259258,1.0666665,48,4,13,1.200925925925926,1.1211111111111112,17,18,18,11,1,0.9928101,0.9974558,0.998276,938.2,5166.0,936.2,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-04,2026-05-04 12:48:17.307338,2026-05-04-0600,L40S,l40s-pcie-48gb,61,0.40018518518518514,0.5602777777777779,0.6288888888888888,1.1222222222222222,2.2459259259259263,4.497777777777778,9.659259259259258,1.0666665,48,0,13,1.200925925925926,,17,16,17,10,1,0.9880844,0.9974593,0.9990134,943.5,5315.2,937.3,0.13333333333333333,0.19999999999999998,v2.0.0
2026-05-04,2026-05-04 13:15:12.118903,2026-05-04-0600,L40S,l40s-pcie-48gb,59,0.40018518518518514,0.5069444444444445,0.6274074074074073,1.1214814814814815,2.2459259259259263,4.814814814814815,9.659259259259258,0.8,46,0,13,1.200925925925926,,16,16,16,10,1,0.9881241,0.9974612,0.999253,943.5,8023.2,937.2,0.13333333333333333,0.19999999999999998,v2.0.0
