as_of_date,collected_at,collection_window_id,gpu_name,silicon_id,n_offers,per_gpu_dph_min,per_gpu_dph_p10,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,min_bid_p50,n_verified,n_deverified,n_other_verification,median_verified,median_deverified,n_1x,n_2x,n_4x,n_8x,n_other_multigpu,reliability_p25,reliability_p50,reliability_p75,inet_down_p50_mbps,inet_down_p75_mbps,inet_up_p50_mbps,egress_cost_per_tb_p50,storage_cost_per_gb_mo_p50,methodology_version
2026-07-26,2026-07-26T07:41:00.994593+00:00,2026-07-25-1800,B200,b200-sxm-180gb,38,4.812673611111111,5.937673611111111,6.327408854166666,12.501041666666667,24.690277777777776,47.893333333333345,56.48333333333333,12.375,38,0,0,12.501041666666667,,7,8,10,13,0,0.9697913499999999,0.9902189,0.9974191,22833.85,53348.85,6425.5,7.5,0.875,v2.2.1
2026-07-26,2026-07-26T13:10:51.753607+00:00,2026-07-26-0600,B200,b200-sxm-180gb,38,4.812673611111111,5.890052083333333,6.383658854166666,12.188368055555557,24.691319444444446,47.893333333333345,56.48333333333333,12.25,38,0,0,12.188368055555557,,7,8,10,13,0,0.9697021,0.98814015,0.997477,21251.75,55204.4,5379.3,12.5,0.875,v2.2.1
2026-07-26,2026-07-26T19:15:27.703201+00:00,2026-07-26-1400,B200,b200-sxm-180gb,40,4.875260416666666,5.850026041666665,6.247395833333333,11.840451388888889,23.541319444444444,28.07208333333336,55.016666666666666,11.661999999999999,40,0,0,11.840451388888889,,7,8,11,14,0,0.9717777999999999,0.99084615,0.997558,19942.9,57274.425,7060.299999999999,12.5,0.53125,v2.2.1
2026-07-26,2026-07-27T01:18:41.744869+00:00,2026-07-26-1800,B200,b200-sxm-180gb,40,4.875260416666666,5.897552083333332,6.474934895833332,11.840451388888889,23.752777777777776,28.07208333333336,51.983333333333334,11.661999999999999,40,0,0,11.840451388888889,,7,9,10,14,0,0.9728031,0.9931614,0.997625,19097.300000000003,55508.575000000004,8146.3,12.5,0.53125,v2.2.1
2026-07-27,2026-07-27T08:01:04.614853+00:00,2026-07-26-1800,B200,b200-sxm-180gb,39,4.812673611111111,5.893802083333332,6.250260416666666,11.805208333333333,23.611805555555556,30.173333333333392,51.983333333333334,11.6,38,1,0,11.840451388888889,5.625173611111111,7,8,10,14,0,0.97875765,0.9932002,0.9976836,23082.8,59146.95,9333.3,12.5,0.875,v2.2.1
2026-07-27,2026-07-27T13:45:23.836328+00:00,2026-07-27-0600,B200,b200-sxm-180gb,39,4.812673611111111,5.944427083333332,6.36953125,11.805208333333333,23.611805555555556,44.69222222222223,88.27777777777779,11.8,39,0,0,11.805208333333333,,7,8,10,14,0,0.9790873499999999,0.9937695,0.9977418,22011.2,59146.95,8368.1,12.5,0.875,v2.2.1
2026-07-27,2026-07-27T19:15:56.836473+00:00,2026-07-27-1400,B200,b200-sxm-180gb,40,4.812673611111111,5.959505208333333,6.443815104166666,12.188368055555557,23.752777777777776,44.40583333333334,88.27777777777779,11.661999999999999,40,0,0,12.188368055555557,,7,9,11,13,0,0.9808109749999999,0.9944528,0.9981532,22223.8,60456.100000000006,8576.3,12.5,0.53125,v2.2.1
2026-07-27,2026-07-28T01:12:29.578047+00:00,2026-07-27-1800,B200,b200-sxm-180gb,42,4.812673611111111,5.940364583333333,7.1575303819444445,12.440625,23.694791666666664,46.69694444444444,88.27777777777779,11.661999999999999,42,0,0,12.440625,,8,9,12,13,0,0.97638265,0.9933071,0.9977746,26134.9,57931.125,8673.1,12.5,0.875,v2.2.1
2026-07-28,2026-07-28T07:43:23.795891+00:00,2026-07-27-1800,B200,b200-sxm-180gb,46,4.812673611111111,5.914192708333332,7.1575303819444445,12.501041666666667,24.691319444444446,46.730555555555554,62.016666666666666,12.5,46,0,0,12.501041666666667,,9,11,12,14,0,0.9770044,0.9930253499999999,0.99732535,22038.45,52833.7,8236.55,7.5,0.18749999999999997,v2.2.1
2026-07-28,2026-07-28T13:25:06.320857+00:00,2026-07-28-0600,B200,b200-sxm-180gb,47,4.812673611111111,5.871302083333332,6.374956597222221,12.380208333333334,23.752777777777776,46.67999999999999,62.016666666666666,12.5,47,0,0,12.380208333333334,,9,11,12,15,0,0.9770616000000001,0.9893481,0.9976494,22610.7,62428.0,9336.8,12.5,0.875,v2.2.1
