as_of_date,cycle_hour,chip_slug,n_sources,n_count_sources,idle_gpus_observable,gpuw_pct_source_equal,methodology_version
2026-06-23,2026-06-23T10:00:00+00:00,h200-sxm,6,1,13,0.359,v2.0.0
2026-06-23,2026-06-23T15:00:00+00:00,h200-sxm,6,1,9,0.3673,v2.0.0
2026-06-23,2026-06-23T20:00:00+00:00,h200-sxm,6,1,9,0.3673,v2.0.0
2026-06-23,2026-06-24T04:00:00+00:00,h200-sxm,6,1,9,0.359,v2.0.0
2026-06-24,2026-06-24T09:00:00+00:00,h200-sxm,5,1,11,0.2308,v2.0.0
2026-06-24,2026-06-24T14:00:00+00:00,h200-sxm,5,1,11,0.2308,v2.0.0
2026-06-24,2026-06-24T20:00:00+00:00,h200-sxm,6,1,9,0.359,v2.0.0
2026-06-24,2026-06-25T04:00:00+00:00,h200-sxm,6,1,11,0.359,v2.0.0
2026-06-25,2026-06-25T09:00:00+00:00,h200-sxm,6,1,11,0.359,v2.0.0
2026-06-25,2026-06-25T15:00:00+00:00,h200-sxm,6,1,11,0.359,v2.0.0
2026-06-25,2026-06-25T20:00:00+00:00,h200-sxm,6,1,15,0.359,v2.0.0
2026-06-25,2026-06-26T04:00:00+00:00,h200-sxm,5,1,14,0.2308,v2.0.0
2026-06-26,2026-06-26T09:00:00+00:00,h200-sxm,6,1,15,0.359,v2.0.0
2026-06-26,2026-06-26T14:00:00+00:00,h200-sxm,5,1,15,0.2408,v2.0.0
2026-06-26,2026-06-26T20:00:00+00:00,h200-sxm,6,1,15,0.359,v2.0.0
2026-06-26,2026-06-27T04:00:00+00:00,h200-sxm,6,1,15,0.3673,v2.0.0
2026-06-27,2026-06-27T08:00:00+00:00,h200-sxm,6,1,15,0.3673,v2.0.0
2026-06-27,2026-06-27T14:00:00+00:00,h200-sxm,6,1,14,0.3673,v2.0.0
2026-06-27,2026-06-27T19:00:00+00:00,h200-sxm,7,2,26,0.4505,v2.0.0
2026-06-27,2026-06-28T04:00:00+00:00,h200-sxm,7,3,26,0.4505,v2.0.0
2026-06-28,2026-06-28T09:00:00+00:00,h200-sxm,7,2,26,0.4505,v2.0.0
2026-06-28,2026-06-28T14:00:00+00:00,h200-sxm,7,2,24,0.4505,v2.0.0
2026-06-28,2026-06-28T19:00:00+00:00,h200-sxm,7,2,24,0.4505,v2.0.0
2026-06-29,2026-06-29T05:00:00+00:00,h200-sxm,1,0,,1.0,v2.0.0
2026-06-29,2026-06-29T11:00:00+00:00,h200-sxm,7,2,20,0.4505,v2.0.0
2026-06-29,2026-06-29T16:00:00+00:00,h200-sxm,7,3,16,0.4467,v2.0.0
2026-06-29,2026-06-29T20:00:00+00:00,h200-sxm,7,2,8,0.3038,v2.0.0
2026-06-29,2026-06-30T04:00:00+00:00,h200-sxm,7,3,18,0.4396,v2.0.0
2026-06-30,2026-06-30T09:00:00+00:00,h200-sxm,1,0,,0.0,v2.0.0
2026-06-30,2026-06-30T10:00:00+00:00,h200-sxm,6,2,12,0.359,v2.0.0
2026-06-30,2026-06-30T14:00:00+00:00,h200-sxm,7,2,16,0.3077,v2.0.0
2026-06-30,2026-06-30T20:00:00+00:00,h200-sxm,7,2,20,0.4505,v2.0.0
2026-07-01,2026-07-01T10:00:00+00:00,h200-sxm,7,2,12,0.3077,v2.0.0
2026-07-01,2026-07-01T17:00:00+00:00,h200-sxm,7,2,12,0.3077,v2.0.0
2026-07-01,2026-07-01T20:00:00+00:00,h200-sxm,6,2,12,0.1923,v2.0.0
2026-07-01,2026-07-01T22:00:00+00:00,h200-sxm,6,2,12,0.1923,v2.0.0
2026-07-01,2026-07-02T04:00:00+00:00,h200-sxm,6,2,12,0.1923,v2.0.0
2026-07-02,2026-07-02T09:00:00+00:00,h200-sxm,7,2,12,0.3077,v2.0.0
2026-07-02,2026-07-02T14:00:00+00:00,h200-sxm,7,2,20,0.4505,v2.0.0
2026-07-02,2026-07-02T17:00:00+00:00,h200-sxm,7,2,20,0.4505,v2.0.0
2026-07-02,2026-07-02T19:00:00+00:00,h200-sxm,7,2,12,0.3077,v2.0.0
2026-07-02,2026-07-02T22:00:00+00:00,h200-sxm,6,2,20,0.359,v2.0.0
2026-07-02,2026-07-03T04:00:00+00:00,h200-sxm,6,2,20,0.359,v2.0.0
2026-07-03,2026-07-03T09:00:00+00:00,h200-sxm,7,2,20,0.4505,v2.0.0
2026-07-03,2026-07-03T14:00:00+00:00,h200-sxm,7,2,12,0.3077,v2.0.0
